[2026-04-16 13:00:08] district User -> Save Data | approve district change yes ->Alipurduar@pds| 3 - 1 - Atta
[2026-04-16 13:00:08] district User -> Save Data | approve district change yes ->Alipurduar@pds| 3 - 2 - Atta
[2026-04-16 13:00:08] district User -> Save Data | approve district change yes ->Alipurduar@pds| 3 - 3 - Atta
[2026-04-16 13:00:08] district User -> Save Data | approve district change yes ->Alipurduar@pds| 3 - 4 - Atta
[2026-04-16 13:00:08] district User -> Save Data | approve district change yes ->Alipurduar@pds| 3 - 5 - Atta
[2026-04-16 13:00:08] district User -> Save Data | approve district change yes ->Alipurduar@pds| 3 - 6 - Atta
[2026-04-16 13:00:08] district User -> Save Data | approve district change yes ->Alipurduar@pds| 3 - 7 - Atta
[2026-04-16 13:00:08] district User -> Save Data | approve district change yes ->Alipurduar@pds| 3 - 1 - RR
[2026-04-16 13:00:08] district User -> Save Data | approve district change yes ->Alipurduar@pds| 3 - 2 - RR
[2026-04-16 13:00:08] district User -> Save Data | approve district change yes ->Alipurduar@pds| 3 - 3 - RR
[2026-04-16 13:00:08] district User -> Save Data | approve district change yes ->Alipurduar@pds| 3 - 4 - RR
[2026-04-16 13:00:08] district User -> Save Data | approve district change yes ->Alipurduar@pds| 3 - 5 - RR
[2026-04-16 13:00:08] district User -> Save Data | approve district change yes ->Alipurduar@pds| 3 - 6 - RR
[2026-04-16 13:00:08] district User -> Save Data | approve district change yes ->Alipurduar@pds| 3 - 7 - RR
[2026-04-16 13:00:08] district User -> Save Data | approve district change yes ->Alipurduar@pds| 3 - 1 - PR
[2026-04-16 13:00:08] district User -> Save Data | approve district change yes ->Alipurduar@pds| 3 - 2 - PR
[2026-04-16 13:00:08] district User -> Save Data | approve district change yes ->Alipurduar@pds| 3 - 3 - PR
[2026-04-16 13:00:08] district User -> Save Data | approve district change yes ->Alipurduar@pds| 3 - 4 - PR
[2026-04-16 13:00:08] district User -> Save Data | approve district change yes ->Alipurduar@pds| 3 - 5 - PR
[2026-04-16 13:00:08] district User -> Save Data | approve district change yes ->Alipurduar@pds| 3 - 6 - PR
